aburrir,mbokaigue,monguerái,mbyaju
abusar,poruvai,momarä,ñemombarete
abuso,poruvai,,
acá,ko'ápe,ápe,
acabado,opáma,oïmbáma,oikopáma
acabar,japopa,momba,
acacia,chivato guasu,,
acaecer,jehu,ko,
acalorado,mbyry'ái,pireaku,rugueraku
acallar,mokirirï,,
acampar,pyta,jepyta,
acariciar,mochichï,mokunu'ü,japichy
acarrear,roja,raha,
acaso,ikatu,herungua,
acatar,ñakäity,ñe'ërendu,mboaje
acceder,neï,moneï,
accesible,jakuaaha,neiséva,
acceso,ja,jeja,
accesorio,joapy,temirü,juapyha
accidente,ha'arö'ÿva,,
acechar,ma'ë ñemi,apera'arö,moñehä
acefalía,iñakä'ÿva,,
acéfalo,hendot'ÿva,naiñakäiva,
aceitar,moñandy,,
aceite,ñandyry,ñandy,
acelerado,puatarara,,
acelerador,mbopya'eha,,
acelerar,mbopya'e,moagë,
acento,muanduhe,,
aceptar,nei,monei,mboaje
acero,kuarepotiete,,
acertijo,kuaara'ä,kuapyrä,porandu asy
aclarar,mohesakä,,
acné,jari'i,,
acomodar,mohenda,mombyta,
acordar,momandu'a,mandu'a,ñemoï peteï ñe'ëme
acortar,mombyky,momichï,mongarape
acusar,kuaauka,mombe'u,jurumy'ÿi
achicar,momichï,mbo'i,
adagio,ñe'ënga,,
adalid,tendota,mburuvicha,sämbyhyha
adelantar,motenonde,tenonde,
adelgazar,mbopiru,mopererï,
además,avei,kóva rire,
adentro,pype,hyepýpe,kotypýpe
adherir,mboja,mona,
adhesivo,mbojaha,,
adiestrar,mbokatupyry,mboha'eve,
adiposo,kyra,iñandýva,ikyráva
administrar,ñangareko,,
admirar,momora,hacharamo,mbojurujái
admitir,moinge,,
adolescente,mitärusu,,
adoptar,ta'yrangáramo,moinge,
adorar,tupäitü,ñakäity,jayvy
adormecer,monge,ñemonge,
adornar,mbojegua,moporä,jeguaka
adquirir,jogua,,
adquisición,mba'epyahu,,
adrede,ojaposetégui,,
adueñarse,ñemomba'e,ñembojára,
adular,mboaguara,mbojuruhe'ë,
adulto,ityaröva,kakuaapámava,
adúltero,oporombovakaratïva,hembireko moköiva,
adverbio,ñe'ëteja,,
advertencia,ñemomarandu,,
advertir,ñatöi,je'epohýi,
aéreo,arapytu,,
afable,horýva,hekororýva,hetia'éva
afamado,herakuäva,,
afanar,mokyre'ÿ,,
afeitar,tendyva'o,,
afeminado,kuñarekóva,,
afilar,haimbe'e,,
afinar,mosÿi,,
afirmar,moatä,mombarete,
afrecho,rorakue,kurukue,
afrentar,motï,momarä,
afuera,okápe,oka,okára
agachado,ojayvýva,atuape,karapä
agachar,mbojayvy,ñakäity,ñembokarape
agalla,pira hay'o,py'aguasu,
agasajado,ojeguerohorýva,,
agasajar,rohory,jopói,
agazaparse,ijaturu,ijatuape,
agencia,tembiapoha,sämbyhyha renda,
agenda,apopyrä,ijapopyrä,
agente,apoha,ñangarekoha,
ágil,akuä,rari,vevúi
agitación,juku'a,py'atarova,
agitar,mbokacha,mbovava,
aglomeración,ñembyaty,teta,atyguasu
agobiar,jopy,py'apy,moangata
agonía,manombota,jehekyipota,pytuhë asy
agonizar,manombota,pytupapota,
agosto,jasypoapy,virumono'ö,
agotar,mbohypa,mbokaigue,
agradar,mbohory,mbovy'a,
agradecer,aguyjeme'ë,hechakuaa,mboaguyje
agrandar,mbotuicha,mbopyguasu,mongakuaa
agravar,mbopohýi,mbovaive,
agraviar,moñemyrö,jahéi,mbopy'avai
agravio,ñemyrö,ñemomarä,ñe'ëmondopyre
agredir,rairö,mbuepoti,havirarei
agregar,mbojoapy,mbojoa,moïve
agresión,rairörei,ñenupä,havirarei
agricultor,chokokue,kokue rerekua,temitÿha
agricultura,ñemitÿ,temitÿmby,
agridulce,he'aivaíva,he'ëmby,he'ëjopara
agrietar,jokatiri,tiri,
agrio,hái,,
agronomía,ñemitÿrekokuaa,ñemitÿmbo'e,
agrupar,mono'öno'ö,mbyaty,mbyatypa
aguada,ygua,,
aguado,yreikue,ymeme,mbo'ypyre
aguantar,ñembesu'u,ñemyatä,
aguante,rosä,pytakuaa,jokokuaa
aguar,mbo'y,,
aguardar,ha'arö,,
agudo,hakua,,
aguijón,popía,,
aguja,ju,,
agujerear,mbokua,,
agujero,kua,kuára,
ahogar,mbo'yguy,moñapymi,mbopytupa
ahondar,mbopypuku,,
ahora,ágä,ko'ágä,
ahorcado,jejuvypyre,,
ahorcar,juvy,jejuvy,
ahorrado,ñongatupyre,mboherupyre,
ahorrar,ñongatu,mohemby,
ahumado,moatatïmbyre,apiche,
ahumar,moatatï,motimbo,mboapiche
ahuyentar,mondýi,mongyhyje,mbojei
aire,yvytu,pytu,
airear,mboyvytu,mboveve,peju
aislar,moha'eño,moaño,momombyry
ajado,piru,ñyñýi,
ajar,javykyvai,haru,mbyai
ajetreo,kane'ö,mokane'ö,
ají,ky'ÿi,,
ajo,sevoiry,,
ajustar,mbojoja,moñondive,
ajusticiado,jukapyre,,
ala,pepo,,
alabar,momba'e,momorä,momarangatu
alacena,tembiporu renda,ñongatuha,
alado,ipepóva,ovevéva,
alarde,ñembokaria'y,tekojejapo,
alargar,mbopuku,pyso,
alarmar,myangekói,mondýi,mbopy'a angata
albergar,mbohupa,mbokokty,mombyta
alborada,ko'ëmbota,ko'ëju,ko'ëtï
alborotar,mbopy'atarova,ayvu,
alboroto,ayvu,sununu,
álbum,ta'angaryru,,
alcahuete,kurupi,,
alcalde,tavaruvicha,tavarerekua,
alcance,hupyty,,
alcancía,viruryru,viruñongatuha,
alcanzar,hupyty,,
alcoba,keha,jekeha,
aldea,tava'i,ogaaty,
aleatorio,jerére,ojehureíva,
aledaño,jerére,apyrapegua,
alegar,kuaauka,techauka,
alegrar,mbojhory,rohory,
alegre,hory,rory,vy'a
alegría,tory,vy'a,
alejar,momombyry,,
alentar,mokyre'ÿ,mbohetia'e,mbopy'aguasu
algodón,mandyju,,
algodonal,mandyjuty,,
alma,ánga,ä,angue
almacenar,ñongatu,,
almanaque,ararechaukaha,ararysyikue,arambo'eha
almidón,aramirö,,
almohada,aramboha,akängyta,
almuerzo,karu,jekaru,
alquilar,poruka,poru,
alterar,myangakói,haru,mbopy'atarova
alternar,mbojopyru,ñomyengovia,pyru
altura,yvate,puku,
alumbrar,hesape,myendy,myesakä
alumno,temimbo'e,,
alzar,hupi,mopu'ä,
amable,hory,horýva,
amado,ojehayhúva,,
amagar,ha'anga,ha'äse,
amamantar,mokambu,,
amanecer,ko'ë,ko'ëtï,ko'ëju
amansar,momymba,mbopochypoi,moñaröjera
amante,hayhuha,,
amar,hayhu,,
amargar,mboro,mbopy'aro,
amargo,ro,mba'ero,
amarillo,sa'yju,,
amarrar,mosä,ñapytï,jokua
amasar,sova,mbojehe'a,
ambicionar,pota,taryrýi,
ambicioso,oipotapáva,taryrýi,
ambiente,arapytu,tekoha,
amén,taupéicha,,
amigo,angirü,,
amistad,hayhu,jahayhu,
amnistía,ñerö,ñemyröpoi,
amontonar,mbojoa,mboaty,
amor,tembiayhu,mborayhu,
ampliar,mbotuicha,mbopy,mbope
ampolla,apiru'a,,
amputar,ñapï,kytï,jyva'o
amueblar,mohembiporu,,
analfabeto,tavy,omoñe'ë'ÿva,
analizar,ñamindu'u,py'amongeta,
ancho,pe,py,
anchura,pekue,pykue,
anciano,karai tuja,itujáva,
andar,guata,,
andrajo,aokue,aotuja,
anécdota,ñemombe'u'i,,
anemia,tuguy'i,tuguykangy,tesa'yju
anestesiar,moandu'ÿ,andumbogue,monge
anexar,mbojoapy,mbojoaju,
ángel,yvapóra,yvagapóra,
angina,hay'orasy,,
angosto,po'i,pa'ü'i,py'i
anguila,mbusu,,
ángulo,takamby,,
angustiar,py'apy,moangata,mbojepy'apy
anhelar,potaite,py'aho,rekosete
anidar,jehaitypo,jehupapo,
anillo,kuäirü,,
ánima,ängue,ánga,angue
animado,tetemÿi,kyre'ÿ,tetia'e
animal,tymba,mymba,
animar,mokyre'ÿ,mborari,mbohetia'e
aniquilar,hekope'a,mbopaha,
ano,tevi,tevikua,
anoche,angepyhare,,
ansiar,potaiterei,hi'äva,
anteojo,tesairü,tesajo'a,
antepasado,ypykue,,
anteponer,motenonde,henonde'a,
anterior,tenondegua,mboyve,mboyvegua
antojo,tembipota,andugua'u,
anular,mboje'o,momba'eve,
anunciar,momarandu,kuaauka,mombe'u
apaciguar,mbopy'aguapy,mbopochyjera,
apagar,mbogue,,
apalear,nupä,mbyepoti,
aparecer,jehecha,jekuaa,ñapysë
apartar,moha'eño,mboyke,momombyry
apellido,terajuapy,,
apertura,jepe'a,ñepyrü,
apetito,vare'a,ñembyahýi,mbaepota
aplanar,mbope,mbojoja,
aplastar,mbojchipe,mbope,
aplaudir,jepopete,guerohory,
aplazar,mbopuku,mbotapykue,mboare
apodo,hero,jehero,
aportar,me'ë,pytyvö,
apostar,ha'ä,ñembosarái,
apoyar,pytyvö,mbojeko,
apreciar,momba'e,hayhu,
aprendiz,oikeramóva,oñepyrüva,
apresurar,mbopya'e,mokyre'ÿ,
aprobar,moneï,mboaje,momorä
aprovechar,poruporä,porukuaa,
aproximar,mboja,moaguï,
apuñalar,kutu,porokutu,kysekutu
apuntalar,joko,mbojetu'u,
apuntar,moma'ë,,
apurar,mbopya'e,mbohetia'e,
aquí,ápe,ko'ápe,
aquietar,mombyta,mbopytu'u,mokiriï
arañar,karäi,hai,ñakaräi
arar,hyvykói,yvyjo'o,yvymbovo
árbol,yvyra,yvyrarakä,
archipiélago,ypa'ündy,ypa'üaty,
archivar,ñongatu,mohendaguä,
archivo,ñongatuha,temiñongaturupa,
arcilla,ñay'ü,tujusÿi,
arder,hendy,kái,jepota
ardid,pokarë,ñuhä,
ardor,takuvo,tatapytu,tuguyraku
arena,yvyku'i,,
arenga,ñemoñe'ë,ñemoñe'ëpohýi,
arete,namichäi,,
argel,ay,pochy,ñaña
argumentar,roviauka,hechauka,
armadillo,tatu,,
aro,ñamichäi,mba'eapu'a,
aroma,tyakuä,tyakuäporä,
arraigar,rapo,ñembohapo,mbohapo
arrancar,mondoro,hekýi,hapo'o
arrasar,moperö,monandi,mbyai
arrastrar,mbotyryry,mopoñy,
arrendar,poruka,,
arriar,mboguyjy,,
arribar,guahë,jupi,ñemboja
arriero,karia'y,,
arrimar,moaguï,mboja,mboypy
arrodillar,moñesü,,
arrojar,mombo,poi,japichy
arrollar,mboapakua,mbyapu'a,
arroyo,ysysry,,
arrugar,mocha'ï,moñyñýi,mokuruchï
arte,mba'apokuaa,katupyry,temiporä
artería,tuguyrape,,
asado,ka'ë,mbyichy,
asaltar,rairö,kaguai,monda
asamblea,amandaje,atyha,
ascensor,jupiha,,
asentir,monei,mohe'ëº,nei
aseo,poteko,tekoresäi,
aserrar,yvyrakytï,kytï,mbovos
asesor,pytyvöhára,tekombo'ehára,
asir,jepokói,japyhy,joko
asistir,ho,me,pytyvö
asma,hu'uvai,pytuhëasy,
asno,mburika,,
asociar,moirü,ñomoirürä,
asomar,apysë,akäsë,
áspero,havara,korócho,
asta,ýva,,
astilla,yvyraku'i,yvyrapehengue,
astro,mbyja,jasy,
astucia,katupyry,akäporä,
asueto,pytu'u,pytu'uha,
asustar,mondýi,mongyhyje,pytaryrýi
atacar,rairö,taky,ndyry
atajar,joko,mombyta,jepytaso
atajo,tapembyky,jepiaha,tapekañymby
atardecer,ka'aruete,,
atascar,mopa'ä,pa'ä,
atender,ñangareko,ma'ëaguï,
aterrar,mongyhyje,mbopy'atytýi,
aterrizar,guyjy,pyrü,yvyguejy
atrás,tapykuépe,takykue,atukupépe
atravesar,hasa,hasapa,hesyvö
aumentar,mbohetave,mbotuicha,
aurora,ko'ëmbota,ko'ëtï,ko'ëju
ausente,pore'ÿ,oï'ÿva,ndaipóri
autobús,mba'yrumýi,,
autonomía,ijehguíva,,
autor,apohare,apohára,apoha
autoridad,mburuvicha,tendota,
autorizar,mbojerovia,jokuái,moneï
auxiliar,pytyvöhára,oipytyva,
avalar,mbojerovia,,
avanzar,motenonde,ñemotenonde,
avaro,jopy,hakate'ÿva,
avasallar,ñemomba'e,mbopoguy,
aventar,mboveve,mombo,
averiar,mbyai,ñembyai,
averiguar,porandu,jeporeka,typeka
avestruz,ñandu,ñandu guasu,churi
avión,mba'yruveve,,
avisar,momarandu,ñatöi,kuaauka
avispa,káva,kavichu'i,
avistar,hecha,hecha mombyry,
axila,jyvaguy,,
ayudar,pytyvö,,
ayunar,py'anandi,karu'i,
azar,sapy'agua,ojehureíva,
azotar,nupä,mbyepoti,havira
azul,hovy,chovy,
azuzar,moñarö,mbopochy,moñorairö
baba,tendysyry,tendyryjúi,juruaysy
bacín,tyryru,kuaruha,
bagre,mandi'i,jurundi'a,ñundi'a
bailar,jeroky,pyryrÿi,
bajar,mboguejy,guyjy,jepoi
bala,mbokara'ÿi,,
baladí,vyrorei,mba'erei,
balance,jepapa,ñeha'ä,
balancear,mbovava,mbokacha,
balanza,ha'äha,mba'era'äha,
balbucear,ñe'ëtavy,ñe'ëpyta,ñe'ëpa'ä
balde,yryru,ryru,
balear,japi,mbokapu,
balsa,ygape,ysyryhasaha,
bambú,takuára,takuavusu,
banana,pakova,,
bañar,jahu,,
banco,apykapuku,apyka,guapyha
bandera,poyvi,tetäpoyvi,aoveve
bandido,moñái,mondaha,hekovaíva
baño,jahuha,ñeïha,
bar,karuha,hi'upyrenda,
baratija,jeguakarei,hepy'ÿva,itaverarei
barato,hepy'ÿva,hepy'i,
barba,tendyva,tovarague,
bárbaro,sagua'a,ñarö,okyhyje'ÿva
barco,ygarata,ygarusu,ygaguasu
barra,mba'epuku,,
barrer,typei,mopotï,
barriga,tye,,
barrio,tavapy,tekoha,tavarembe'y
barro,tuju,ñai'ü,
base,topyta,rapyta,
basta,iporäma,ha'evéma,péantema
batir,mbojehe'a,mbovu,
baúl,karameguä,aoñongatuha,
bebé,mitära'y,kunumi,mitä
bebedero,jey'uha,ygua,
becerro,vakara'y,,
bejuco,ysypo,,
bello,porä,,
bendito,hovasapyre,ikaraíva,marangatu
besar,hetü,jurupyte,jurumboja
bestia,mymbavai,tekoveñaña,
bienestar,jeikoporä,py'aguapy,akärapu'ä
bigote,temberague,temberaviju,
biografía,rekovekue,tekorapykuere,
biología,tekovekuaaty,tekovekuaa,
bisabuelo,taitaguasu,taitaru,taitaju
blanco,morotï,,
bocio,ju'ái,ajukandu,
bocón,juruguasu,,
boda,menda,mendaha,ñemenda
boquete,kua,kuára,jeikeha
boquiabierto,jurupe'a,jurujái,taïmbiti
bordar,mbovyvyjegua,mbojegua,aojegua
borde,tembe'y,apýra,
borracho,ka'u,pichoro,piguy
borrador,mbogueha,mboje'oha,
borrar,mbogue,mboje'o,
borrego,ovechara'y,,
bosta,vakarekaka,tekaka,
bota,sapatupuku,pyryruvusu,
bote,yga,yga'i,kanóa
botella,limeta,tykueryru,kaguaka
bramar,mburea,kororö,
brasa,tata,tatapÿi,tatarendy
bravo,ñarö,,
brazo,jyva,,
brillar,mimbi,vera,jajái
brincar,popo,saraki,
brisa,yvytukangy,yvytupiro'y,
brocal,ykuarembe,ykuajuru,
bromear,mbojaru,mbohory,
brotar,hoky,hokypu,heñói
buey,guéi,,
bufar,ambu,mburea,
buitre,yryvu,,
burlar,mbotavy,ñembohory,ñembosarái
burro,chambalái,chavurro,
buscar,heka,typeka,mboguyguy
búsqueda,jeheka,heka,
butaca,guapyha,,
buzo,yguyregua,,
cabal,tekoporä,marangatu,
cábala,ñemimby,ñe'ëñemi,
cabalgar,kavaju ári jeiko,,
caballero,kuimba'ete,,
caballo,kavaju,,
cabaña,óga okára,óga kapi'i,
caber,ke,ja,
cabeza,akä,ypy,myakä
cabezón,akäguasu,,
cabra,kavara,,
cadáver,te'öngue,tetekue,
cadena,itasä,,
cadera,tumby,rumby,
caducar,akätavy,akäkuchu,opa
caer,ho'a,kúi,ty
café,taperyva,,
cagar,poti,kaka,
cagón,py'amirï,py'aju,
caimán,jakare,,
caja,mba'yru,mba'eryru,karamegua
calambre,kuruchï,apa,jehýi
calcinar,hapy,kái,jehapy
calcular,akängeta,,
caldera,mbyakuha,hapyha,
caldo,jukysy,hykuere,
calentar,mbyaku,jope,ñeko'öi
calesita,jereha,,
caliente,haku,aku,
calificar,mbopapapy,moporä,mbovai
callar,kirirï,ñe'ëngu,
calle,tape,guataha,
calma,pytu'u,py'aguapy,
calmar,mombytu'u,mbopy'aguapy,
calor,taku,jope,mbyry'ái
calumniar,momarä,ñe'ëreivai,mombe'uvai
calvicie,akäperö,,
calzar,mbosapatu,,
calzón,kasö,,
cama,tupa,inimbe,tenimbe
cambiar,rova,guerova,mbojopyru
cambio,moambue,ambue,tekovia
camilla,tupa'i,inimbe'i,hasýva guerahaha
caminar,guata,pykúi,je'ói
caminero,guataha,,
camino,tape,guataha,
camión,mba'yrumÿi,mba'yruguata,kamiö
camisa,kamisa,,
camisón,aokeha,,
campana,itapu,,
campaña,okára,oka,
campeón,ipu'akapáva,,
campesino,okaraygua,okaygua,chokokue
can,jagua,,
cana,atï,akätï,
caña,guaripóla,guari,taguato resay
cañada,yvypyko'ë,yvypa'ü,
canasto,ajaka,,
cañaveral,takure'ëndy,,
cancelar,mbopaha,,
cáncer,mba'asyvai,,
canción,purahéi,,
candado,mbotyha,,
canilla,kupy,tetyma,
canina,jagua rehegua,,
canonizar,momarangatu,momorä,
cansar,mokane'ö,monguerái,mbojuku'a
cantar,purahéi,,
cántaro,kambuchi,yryru,
cantera,itaty,itakua,itarenda
cantina,kaguyrenda,guariñemuha,hi'upyrenda
capar,ta'ÿi'o,,
caparazón,ape,ape'atä,apekue
capataz,uru,tendota,
capaz,katupyry,ha'eve,japokuaa
capilar,akärague,áva rehegua,
capilla,tupäo'i,,
capital,tavaguasu,pirapire,
capitán,mburuvicha,,
capítulo,vore,,
caporal,uru,,
capricho,tembipotarei,potaiterei,
captar,pyhy,,
captor,oporomokañýva,,
capullo,kuru,potykuru,
cara,tova,ape,
carácter,teko,,
carajo,mbóre,,
caramba,añamechü,añara'y,añamemby
carancho,karakara,,
carátula,tovara'änga,arandukarova,
carbón,tatapÿirä,,
cárcel,ka'iräi,,
carcomer,guy'u,,
cardenal,pa'iruvicha,guyra akä pytä,
carecer,guereko'ÿ,tekotevë,
careo,mbojovake,mbohovái,
carga,mba'epohýi,jokuapy,
cargar,hupi,raha,
cargo,tembiapo,,
caricatura,ta'angagua'u,ta'anga pukarä,
caricia,kunu'ü,havi'ü,juruhe'ë
caries,täivai,täikua,
carilla,kuatiarova,,
cariño,mborayhu,tembiayhu,
carne,so'o,,
carné,kuatiachauka'i,,
carnívoro,so'o'uha,,
carpa,aho'ihaguasu,,
carpir,ka'api,,
carraspear,ahy'opykaräi,ahy'opyau,
carrera,ñeñani,ñani,
carreta,karréta,,
carretera,tapeguasu,tapepya'e,
carro,mba'yru,kachape,kárro
carroña,so'one,so'otuju,
cartón,kuatia atä,kuatia anambusu,
casa,óga,tapÿi,
casar,momenda,mbojuaju,
cascabel,mbói chini,aguai,chini
cascada,yje'a,ypya'e,
cáscara,pire,ape,pirekue
casco,akäo'atä,akämo'äha,
cascote,itarembyre,,
casero,ñangarekoha,,
castellano,karaiñe'ë,,
castidad,marä'ÿ,tekopotï,
castigar,nupä,mbyepoti,ravira
castrar,ta'ÿi'o,,
casual,sapy'agua,,
catador,ha'äha,,
catarro,ambýu,tïsyry,tïpa'ä
catedral,tupäoguasu,tupäovusu,
caudal,hetakue,teta,pirapireheta
caudaloso,hi'yhetáva,,
caudillo,omyakäva,tuvicha,
causar,mbojehu,,
cautivar,japyhy,mosä,jura
cautiverio,kotyhü,ka'iräi,ñemboty
cavar,jo'o,yvyjo'o,
caverna,itakua,yvykua,kuára
cazar,mymbajuka,guera'api,marika
cebar,mongyra,tykua,
cebo,kyra,,
cebolla,sevói,,
cecina,so'opiru,,
ceder,me'ë,guevi,ñembopo'i
cedro,ygary,,
cegar,mohesatü,mopytü,
ceguera,techa'ÿ,techave'ÿ,
ceja,tyvyta,,
celda,kotyka'iräi,,
celebrar,rerohory,guerovy'a,
célebre,herakuäva,,
celebridad,terakuä,,
celeridad,pya'ekue,voikue,
celeste,hovyngy,hovykangy,
célibe,omenda'ÿva,,
celular,pumbyrymýi,,
cemento,itaku'ijy,itamirïku'i,
cena,tembi'upyhare,,
cenar,karupyhare,,
ceniza,tanimbu,kusugue,
censo,avajeipapa,,
central,mbytegua,tendaguasu,
centrar,mombyte,,
centro,mbyte,,
cepillar,kyty,mosÿi,johéi
cera,araity,eiraity,
cerca,aguï,apete,pepete
cercado,kora,,
cercano,aguïgua,ypygua,
cercar,mongora,,
cercenar,mombyky,kytï,
cerda,tague,kavaju áva,kure kuña
cerdo,kure,,
cerebro,apytu'ü,,
cerrar,mboty,,
cerrazón,ypytu,ára ypytü,
cerro,yvyty,,
cerrojo,mopa'äha,mbotyha,
certificar,moañete,mbokuatia,
césped,kapi'ipe,,
cesto,ajaka,,
chacra,kokue,ñemity,kógaty
chaira,häimbe'eha,,
chamán,tamói,pa'i ka'aguy,
chancho,kure,,
chaparrón,amasapy'a,amangy,
charco,tuju,yno'ö,
charla,ñemoñe'ë,ñomongeta,
charlatán,ñe'ëngatu,ñe'ërei,jurumy'ÿi
charque,so'opiru,,
chatear,ñemongetahai,,
chica,michï,kuñataï,mitäkuña
chicharrón,chicharö,,
chichón,akändu,kändu,apeno
chicote,tukumbo,nupäha,
chiflado,tavyrai,tarova,tavy
chillar,chi'ö,chiä,
chimenea,tatatïrape,tatatïsëha,tatatimborape
chisme,ñe'ërei,ñe'ëngue,jurumy'ÿi
chispa,tatapiriri,,
chiste,pukarä,,
chocar,mbota,topeta,jetopeta
choclo,avatiky,,
chorro,chororo,,
choza,tapÿi,óga,
chueco,pytavä,pyrüvai,tetymakarë
chupar,pyte,kambu,syryku
chupete,pytepy,,
ciclón,yvytupochy,,
ciego,ohecha'ÿva,hesatüva,hesakuapéva
cielo,yvága,arapy,ára
ciencia,kuapy,tembikuaa,arandu
ciénega,karugua,tujukua,
científico,tembikuaahára,,
cierre,mboyha,ñemboty,
cigarra,ñakyrä,,
cigarrillo,pita'irä,pitarä'i,
cilantro,kuratü,,
cima,tu'ä,hu'ä,yvatete
cinta,apytïha,inimbope,
cinto,ku'asä,ku'ajopyha,
cintura,ku'a,tumby,
circuito,tapejere,yvyjere,tapereko
civil,tetägua,avarekogua,tetämba'e'ÿva
clamar,henói asy,sapukái asy,pyahë
clasificar,mbohysýi,poravo,mohenda
clavar,kutu,ñyvö,
clima,arapytu,,
cobarde,py'amirï,py'aju,kyhyje
cobijar,jaho'i,añuvä,mbohupa
coche,mba'yrumÿi,mba'yrujere,
cocina,tataypy,kosina,
cocinar,tembi'uapo,mbojy,jy
cocotero,mbokaja,,
codiciar,pota,taryrýi,
codo,jyvanga,,
coger,pyhy,pojái,
coincidir,ñeïjoja,ñe'ëjoja,joja
coito,poreno,jopyhy,je'u
colar,mbogua,mbohasa,jasuru
colcha,tupahoja,ahoja,
colchón,kochö,,
colectar,mbyaty,mono'ö,ñempno'ö
colega,javegua,irü,
colegio,mbo'ehao,,
colgar,mosäingo,,
colitis,tye,tyerasy,tyechivivi
collar,mbo'y,,
colocar,mohenda,moï,
colonia,tekohaguasu,,
color,sa'y,,
colorar,mbosa'y,,
colosal,poro'o,kakuaa,tuicha
columna,yvyrapuku,,
coma,kyguái,,
comadreja,mykurë,,
combinar,mbojehe'a,mbojopara,mbojuaju
comenzar,ñepyrü,mboypy,
comer,karu,ñapi'ü,jepy'ajoko
comestible,hi'upy,je'upyrä,
compañero,irü,ndivegua,
comparar,mbojoja,mbojogua,mbojovake
compartir,mboja'o,,
compatriota,tetäygua,,
competente,ha'evéva,ikatupyrýva,
compilar,mbyaty,mono'ö,
completar,myañyhë,moïmba,japopa
complicar,mbohasy,mbojehe'a,
componer,myatyrö,moporä,
comprar,jogua,mba'ejogua,
comprender,kümby,kuaa,hechakuaa
comprometer,porojokua,poroapytï,
común,tapiagua,jepigua,opa aragua
comuna,tavaróga,,
comunal,tavamba'éva,,
comunicar,mombe'u,kuaauka,
comunidad,tekoha,,
comunión,tupära'ä,,
conceder,me'ë,moneï,
concepto,he'iséva,ñeimo'ä,
conciencia,tekoanduha,tekoñe'ë,
conciliar,moingoporä,mborayhuka,moñe'ëpeteï
conciso,mbyky,,
cónclave,atyñembotypy,,
concluir,mohu'ä,japopa,momba
conclusión,mohu'äpy,,
concubina,keirü,,
condenar,mbovai,moangaipa,
conducto,tape,tapekua,
conejo,tapiti,,
confeccionar,japo,japokuaa,
confesar,monbe'u,ñemombe'u,
confiar,jerovia,rovia,
confín,tembe'y,opaha,yvypaha
confirmar,moañete,,
confundir,mbojehe'a,mbojuavy,moapañuäi
congelar,moatä,mbohypy'a,
congreso,amandaje,atyguasu,
conocer,kuaa,kümby,
consagrar,mongarai,,
conseguir,hupyty,moingo,
consejo,ñemoñe'ë,tekombo'e,
